INFO:root:Start SimCLR training for 1000 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.330850124359131	Top1 accuracy: 1.5625
DEBUG:root:Epoch: 1	Loss: 5.129030704498291	Top1 accuracy: 8.3984375
DEBUG:root:Epoch: 2	Loss: 4.9792351722717285	Top1 accuracy: 9.9609375
DEBUG:root:Epoch: 3	Loss: 4.6488213539123535	Top1 accuracy: 13.4765625
DEBUG:root:Epoch: 4	Loss: 4.1858954429626465	Top1 accuracy: 19.53125
DEBUG:root:Epoch: 5	Loss: 4.276638507843018	Top1 accuracy: 18.1640625
DEBUG:root:Epoch: 6	Loss: 4.469193458557129	Top1 accuracy: 29.1015625
DEBUG:root:Epoch: 7	Loss: 4.055593967437744	Top1 accuracy: 25.78125
DEBUG:root:Epoch: 8	Loss: 3.986912965774536	Top1 accuracy: 26.3671875
DEBUG:root:Epoch: 9	Loss: 3.801095724105835	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 10	Loss: 3.7753360271453857	Top1 accuracy: 38.671875
DEBUG:root:Epoch: 11	Loss: 3.8135159015655518	Top1 accuracy: 23.046875
DEBUG:root:Epoch: 12	Loss: 3.679659366607666	Top1 accuracy: 30.6640625
DEBUG:root:Epoch: 13	Loss: 3.4762721061706543	Top1 accuracy: 33.59375
DEBUG:root:Epoch: 14	Loss: 3.655637502670288	Top1 accuracy: 35.9375
DEBUG:root:Epoch: 15	Loss: 3.5335488319396973	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 16	Loss: 3.4335126876831055	Top1 accuracy: 32.6171875
DEBUG:root:Epoch: 17	Loss: 3.23175311088562	Top1 accuracy: 40.625
DEBUG:root:Epoch: 18	Loss: 3.2268519401550293	Top1 accuracy: 36.5234375
DEBUG:root:Epoch: 19	Loss: 3.2586162090301514	Top1 accuracy: 38.28125
DEBUG:root:Epoch: 20	Loss: 3.1734533309936523	Top1 accuracy: 36.71875
DEBUG:root:Epoch: 21	Loss: 2.98158597946167	Top1 accuracy: 33.3984375
DEBUG:root:Epoch: 22	Loss: 2.8040528297424316	Top1 accuracy: 44.140625
DEBUG:root:Epoch: 23	Loss: 3.0975089073181152	Top1 accuracy: 37.109375
DEBUG:root:Epoch: 24	Loss: 2.774589776992798	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 25	Loss: 2.94911789894104	Top1 accuracy: 45.1171875
DEBUG:root:Epoch: 26	Loss: 3.0580432415008545	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 27	Loss: 3.371727466583252	Top1 accuracy: 45.1171875
DEBUG:root:Epoch: 28	Loss: 3.2802443504333496	Top1 accuracy: 45.3125
DEBUG:root:Epoch: 29	Loss: 3.025665283203125	Top1 accuracy: 44.3359375
DEBUG:root:Epoch: 30	Loss: 2.6899116039276123	Top1 accuracy: 46.09375
DEBUG:root:Epoch: 31	Loss: 2.5276005268096924	Top1 accuracy: 40.625
DEBUG:root:Epoch: 32	Loss: 2.9546852111816406	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 33	Loss: 2.80838942527771	Top1 accuracy: 47.8515625
DEBUG:root:Epoch: 34	Loss: 2.9828057289123535	Top1 accuracy: 46.6796875
DEBUG:root:Epoch: 35	Loss: 3.0005218982696533	Top1 accuracy: 50.1953125
DEBUG:root:Epoch: 36	Loss: 2.6021909713745117	Top1 accuracy: 41.2109375
DEBUG:root:Epoch: 37	Loss: 2.7363717555999756	Top1 accuracy: 47.4609375
DEBUG:root:Epoch: 38	Loss: 2.525379180908203	Top1 accuracy: 47.4609375
DEBUG:root:Epoch: 39	Loss: 2.998009204864502	Top1 accuracy: 52.34375
